case_id,source,target,edge_type,risk
RC00000001,C000000001,D00000001,uses_device,64
RC00000001,D00000001,A00000001,linked_payout_account,70
RC00000001,A00000001,M00000001,pays_to,88
RC00000002,C000000482,D00003590,uses_device,64
RC00000002,D00003590,A00001592,linked_payout_account,70
RC00000002,A00001592,C000001091,pays_to,88
RC00000003,C000000963,D00007179,uses_device,64
RC00000003,D00007179,A00003183,linked_payout_account,70
RC00000003,A00003183,M00001407,pays_to,88
RC00000004,C000003368,D00025124,uses_device,64
RC00000004,D00025124,A00011138,linked_payout_account,70
RC00000004,A00011138,M00004922,pays_to,88
RC00000005,C000005903,D00044039,uses_device,64
RC00000005,D00044039,A00007523,linked_payout_account,70
RC00000005,A00007523,C000013184,pays_to,88
RC00000006,C000006384,D00047628,uses_device,64
RC00000006,D00047628,A00009114,linked_payout_account,70
RC00000006,A00009114,M00004330,pays_to,88
RC00000007,C000007957,D00009365,uses_device,64
RC00000007,D00009365,A00002317,linked_payout_account,70
RC00000007,A00002317,C000017766,pays_to,88
RC00000008,C000008438,D00012954,uses_device,90
RC00000008,D00012954,A00003908,linked_payout_account,92
RC00000008,A00003908,M00002332,pays_to,88
RC00000009,C000008659,D00014603,uses_device,90
RC00000009,D00014603,A00004639,linked_payout_account,92
RC00000009,A00004639,C000019332,pays_to,62
RC00000010,C000010492,D00028280,uses_device,64
RC00000010,D00028280,A00010702,linked_payout_account,70
RC00000010,A00010702,M00000334,pays_to,88
RC00000011,C000010973,D00031869,uses_device,64
RC00000011,D00031869,A00000293,linked_payout_account,70
RC00000011,A00000293,M00001037,pays_to,88
RC00000012,C000013378,D00049814,uses_device,64
RC00000012,D00049814,A00008248,linked_payout_account,70
RC00000012,A00008248,M00004552,pays_to,88
RC00000013,C000015913,D00018729,uses_device,64
RC00000013,D00018729,A00004633,linked_payout_account,70
RC00000013,A00004633,C000015514,pays_to,88
RC00000014,C000016394,D00022318,uses_device,64
RC00000014,D00022318,A00006224,linked_payout_account,70
RC00000014,A00006224,M00003960,pays_to,88
RC00000015,C000016875,D00025907,uses_device,90
RC00000015,D00025907,A00007815,linked_payout_account,92
RC00000015,A00007815,C000017660,pays_to,88
RC00000016,C000017967,D00034055,uses_device,64
RC00000016,D00034055,A00011427,linked_payout_account,70
RC00000016,A00011427,C000000096,pays_to,88
RC00000017,C000018448,D00037644,uses_device,90
RC00000017,D00037644,A00001018,linked_payout_account,92
RC00000017,A00001018,M00001962,pays_to,88
RC00000018,C000000983,D00006559,uses_device,64
RC00000018,D00006559,A00009403,linked_payout_account,70
RC00000018,A00009403,M00000667,pays_to,88
RC00000019,C000003388,D00024504,uses_device,64
RC00000019,D00024504,A00005358,linked_payout_account,70
RC00000019,A00005358,C000012189,pays_to,88
RC00000020,C000003869,D00028093,uses_device,64
RC00000020,D00028093,A00006949,linked_payout_account,70
RC00000020,A00006949,M00004885,pays_to,88
RC00000021,C000005923,D00043419,uses_device,64
RC00000021,D00043419,A00001743,linked_payout_account,70
RC00000021,A00001743,C000017844,pays_to,88
RC00000022,C000006404,D00047008,uses_device,64
